MSOA21CD,provider_code,provider_name
E02003211,R0D,University Hospitals Dorset NHS Foundation Trust
E02004236,R0D,University Hospitals Dorset NHS Foundation Trust
E02004237,R0D,University Hospitals Dorset NHS Foundation Trust
E02004238,R0D,University Hospitals Dorset NHS Foundation Trust
E02004239,R0D,University Hospitals Dorset NHS Foundation Trust
E02004240,R0D,University Hospitals Dorset NHS Foundation Trust
E02004241,R0D,University Hospitals Dorset NHS Foundation Trust
E02004242,R0D,University Hospitals Dorset NHS Foundation Trust
E02004244,R0D,University Hospitals Dorset NHS Foundation Trust
E02004245,R0D,University Hospitals Dorset NHS Foundation Trust
E02004246,R0D,University Hospitals Dorset NHS Foundation Trust
E02004247,R0D,University Hospitals Dorset NHS Foundation Trust
E02004248,R0D,University Hospitals Dorset NHS Foundation Trust
E02004249,R0D,University Hospitals Dorset NHS Foundation Trust
E02004250,R0D,University Hospitals Dorset NHS Foundation Trust
E02004251,R0D,University Hospitals Dorset NHS Foundation Trust
E02004252,R0D,University Hospitals Dorset NHS Foundation Trust
E02004253,R0D,University Hospitals Dorset NHS Foundation Trust
E02004254,R0D,University Hospitals Dorset NHS Foundation Trust
E02004263,R0D,University Hospitals Dorset NHS Foundation Trust
E02004264,R0D,University Hospitals Dorset NHS Foundation Trust
E02004265,R0D,University Hospitals Dorset NHS Foundation Trust
E02004267,R0D,University Hospitals Dorset NHS Foundation Trust
E02004268,R0D,University Hospitals Dorset NHS Foundation Trust
E02004788,R0D,University Hospitals Dorset NHS Foundation Trust
E02004790,R0D,University Hospitals Dorset NHS Foundation Trust
E02004794,R0D,University Hospitals Dorset NHS Foundation Trust
E02004800,R0D,University Hospitals Dorset NHS Foundation Trust
E02006883,R0D,University Hospitals Dorset NHS Foundation Trust
E02006885,R0D,University Hospitals Dorset NHS Foundation Trust
E02003581,R1F,Isle of Wight NHS Trust
E02003582,R1F,Isle of Wight NHS Trust
E02003583,R1F,Isle of Wight NHS Trust
E02003584,R1F,Isle of Wight NHS Trust
E02003585,R1F,Isle of Wight NHS Trust
E02003586,R1F,Isle of Wight NHS Trust
E02003587,R1F,Isle of Wight NHS Trust
E02003588,R1F,Isle of Wight NHS Trust
E02003589,R1F,Isle of Wight NHS Trust
E02003590,R1F,Isle of Wight NHS Trust
E02003591,R1F,Isle of Wight NHS Trust
E02003592,R1F,Isle of Wight NHS Trust
E02003593,R1F,Isle of Wight NHS Trust
E02003594,R1F,Isle of Wight NHS Trust
E02003595,R1F,Isle of Wight NHS Trust
E02003596,R1F,Isle of Wight NHS Trust
E02003597,R1F,Isle of Wight NHS Trust
E02003598,R1F,Isle of Wight NHS Trust
E02000714,R1H,Barts Health NHS Trust
E02000715,R1H,Barts Health NHS Trust
E02000716,R1H,Barts Health NHS Trust
E02000717,R1H,Barts Health NHS Trust
E02000718,R1H,Barts Health NHS Trust
E02000719,R1H,Barts Health NHS Trust
E02000720,R1H,Barts Health NHS Trust
E02000721,R1H,Barts Health NHS Trust
E02000722,R1H,Barts Health NHS Trust
E02000723,R1H,Barts Health NHS Trust
E02000724,R1H,Barts Health NHS Trust
E02000725,R1H,Barts Health NHS Trust
E02000727,R1H,Barts Health NHS Trust
E02000728,R1H,Barts Health NHS Trust
E02000729,R1H,Barts Health NHS Trust
E02000730,R1H,Barts Health NHS Trust
E02000731,R1H,Barts Health NHS Trust
E02000732,R1H,Barts Health NHS Trust
E02000733,R1H,Barts Health NHS Trust
E02000734,R1H,Barts Health NHS Trust
E02000735,R1H,Barts Health NHS Trust
E02000736,R1H,Barts Health NHS Trust
E02000737,R1H,Barts Health NHS Trust
E02000738,R1H,Barts Health NHS Trust
E02000739,R1H,Barts Health NHS Trust
E02000740,R1H,Barts Health NHS Trust
E02000741,R1H,Barts Health NHS Trust
E02000742,R1H,Barts Health NHS Trust
E02000743,R1H,Barts Health NHS Trust
E02000744,R1H,Barts Health NHS Trust
E02000745,R1H,Barts Health NHS Trust
E02000746,R1H,Barts Health NHS Trust
E02000747,R1H,Barts Health NHS Trust
E02000748,R1H,Barts Health NHS Trust
E02000749,R1H,Barts Health NHS Trust
E02000751,R1H,Barts Health NHS Trust
E02000754,R1H,Barts Health NHS Trust
E02000755,R1H,Barts Health NHS Trust
E02000757,R1H,Barts Health NHS Trust
E02000759,R1H,Barts Health NHS Trust
E02000764,R1H,Barts Health NHS Trust
E02000768,R1H,Barts Health NHS Trust
E02000777,R1H,Barts Health NHS Trust
E02000864,R1H,Barts Health NHS Trust
E02000865,R1H,Barts Health NHS Trust
E02000866,R1H,Barts Health NHS Trust
E02000867,R1H,Barts Health NHS Trust
E02000868,R1H,Barts Health NHS Trust
E02000869,R1H,Barts Health NHS Trust
E02000870,R1H,Barts Health NHS Trust
E02000871,R1H,Barts Health NHS Trust
E02000872,R1H,Barts Health NHS Trust
E02000873,R1H,Barts Health NHS Trust
E02000874,R1H,Barts Health NHS Trust
E02000875,R1H,Barts Health NHS Trust
E02000876,R1H,Barts Health NHS Trust
E02000877,R1H,Barts Health NHS Trust
E02000878,R1H,Barts Health NHS Trust
E02000879,R1H,Barts Health NHS Trust
E02000880,R1H,Barts Health NHS Trust
E02000881,R1H,Barts Health NHS Trust
E02000882,R1H,Barts Health NHS Trust
E02000883,R1H,Barts Health NHS Trust
E02000884,R1H,Barts Health NHS Trust
E02000885,R1H,Barts Health NHS Trust
E02000886,R1H,Barts Health NHS Trust
E02000887,R1H,Barts Health NHS Trust
